synonyms	ec_number	recommended_name
cytochrome a3	1.9.3.1	cytochrome-c oxidase
oxidase, cytochrome	1.9.3.1	cytochrome-c oxidase
Warburg's respiratory enzyme	1.9.3.1	cytochrome-c oxidase
indophenol oxidase	1.9.3.1	cytochrome-c oxidase
indophenolase	1.9.3.1	cytochrome-c oxidase
complex IV	1.9.3.1	cytochrome-c oxidase
ferrocytochrome c oxidase	1.9.3.1	cytochrome-c oxidase
NADH cytochrome c oxidase	1.9.3.1	cytochrome-c oxidase
A-protein	1.9.3.1	cytochrome-c oxidase
AED	1.9.3.1	cytochrome-c oxidase
COXVIAH	1.9.3.1	cytochrome-c oxidase
Cytochrome caa3	1.9.3.1	cytochrome-c oxidase
Fourth terminal oxidase	1.9.3.1	cytochrome-c oxidase
IHQ	1.9.3.1	cytochrome-c oxidase
Polypeptide VIb	1.9.3.1	cytochrome-c oxidase
SSG	1.9.3.1	cytochrome-c oxidase
STA	1.9.3.1	cytochrome-c oxidase
VIA*	1.9.3.1	cytochrome-c oxidase
VIIaL	1.9.3.1	cytochrome-c oxidase
VIIIA	1.9.3.1	cytochrome-c oxidase
VIIIb	1.9.3.1	cytochrome-c oxidase
VIIIC	1.9.3.1	cytochrome-c oxidase
cytochrome aa3	1.9.3.1	cytochrome-c oxidase
cbb3-2 terminal oxidase	1.9.3.1	cytochrome-c oxidase
cbb3-2 oxidase	1.9.3.1	cytochrome-c oxidase
Aa3 terminal Oxidase	1.9.3.1	cytochrome-c oxidase
COX III	1.9.3.1	cytochrome-c oxidase
cytochrome c oxidase subunit IV	1.9.3.1	cytochrome-c oxidase
CytCOx	1.9.3.1	cytochrome-c oxidase
COX I subunit	1.9.3.1	cytochrome-c oxidase
complex IV of the mitochondrial electron transport chain	1.9.3.1	cytochrome-c oxidase
COX IV	1.9.3.1	cytochrome-c oxidase
COX	1.9.3.1	cytochrome-c oxidase
cytochrome oxidase	1.9.3.1	cytochrome-c oxidase
CytOX	1.9.3.1	cytochrome-c oxidase
CcOX	1.9.3.1	cytochrome-c oxidase
COX I	1.9.3.1	cytochrome-c oxidase
COX Va	1.9.3.1	cytochrome-c oxidase
COX VIa-H	1.9.3.1	cytochrome-c oxidase
COX VIb	1.9.3.1	cytochrome-c oxidase
COX VIc	1.9.3.1	cytochrome-c oxidase
COX VIIa H	1.9.3.1	cytochrome-c oxidase
COX VIIb	1.9.3.1	cytochrome-c oxidase
COX VIIc	1.9.3.1	cytochrome-c oxidase
COX VIIa L	1.9.3.1	cytochrome-c oxidase
COX VIII	1.9.3.1	cytochrome-c oxidase
cytochrome c oxidase subunit I	1.9.3.1	cytochrome-c oxidase
COX Vb	1.9.3.1	cytochrome-c oxidase
Cox7c	1.9.3.1	cytochrome-c oxidase
cytochrome oxidase VIIc	1.9.3.1	cytochrome-c oxidase
COX subunit I	1.9.3.1	cytochrome-c oxidase
COXIII	1.9.3.1	cytochrome-c oxidase
CCO subunit 1	1.9.3.1	cytochrome-c oxidase
mitochondrial cytochrome c oxidase subunit IV	1.9.3.1	cytochrome-c oxidase
